time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
1.82,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.84,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.86,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.8800000000000001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.9000000000000001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.92,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.94,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.96,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
1.98,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.02,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.04,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.06,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.08,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.12,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.14,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.16,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.18,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.2,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.22,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.24,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.2600000000000002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.2800000000000002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.3000000000000003,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.32,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.34,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.36,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.38,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.4,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.42,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.44,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.46,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.48,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.5,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.52,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.54,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.56,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.58,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.6,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.62,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.64,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.66,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.68,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.7,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.72,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.74,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.7600000000000002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.7800000000000002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.8000000000000003,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.82,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.84,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.86,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.88,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.9,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.92,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.94,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.96,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
2.98,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.02,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.04,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.06,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.08,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.12,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.14,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.16,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.18,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.2,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.22,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.24,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.2600000000000002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.2800000000000002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.3000000000000003,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.3200000000000003,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.34,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.36,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.38,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.4,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.42,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.44,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.46,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.48,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.5,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.52,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.54,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.56,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.58,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.6,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.62,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.64,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.66,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.68,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.7,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
3.72,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,nan,MODEL_NOT_IDENTIFIED
